angle,sin,cos
57bcf0,57bb38,fff0f72
57e400,57e245,fff0e9c
580b10,580953,fff0dc5
583220,583061,fff0cee
585930,58576f,fff0c16
588040,587e7c,fff0b3f
58a750,58a58a,fff0a66
58ce60,58cc98,fff098e
58f570,58f3a5,fff08b5
591c80,591ab3,fff07db
594390,5941c0,fff0702
596aa0,5968ce,fff0628
5991b0,598fdc,fff054d
59b8c0,59b6e9,fff0472
59dfd0,59ddf7,fff0397
5a06e0,5a0504,fff02bb
5a2df0,5a2c12,fff01df
5a5500,5a5320,fff0103
5a7c10,5a7a2d,fff0026
5aa320,5aa13b,ffeff49
5aca30,5ac848,ffefe6c
5af140,5aef56,ffefd8e
5b1850,5b1663,ffefcb0
5b3f60,5b3d71,ffefbd1
5b6670,5b647e,ffefaf2
5b8d80,5b8b8c,ffefa13
5bb490,5bb299,ffef933
5bdba0,5bd9a7,ffef853
5c02b0,5c00b4,ffef773
5c29c0,5c27c2,ffef692
5c50d0,5c4ecf,ffef5b1
5c77e0,5c75dd,ffef4cf
5c9ef0,5c9cea,ffef3ed
5cc600,5cc3f8,ffef30b
5ced10,5ceb05,ffef228
5d1420,5d1213,ffef145
5d3b30,5d3920,ffef062
5d6240,5d602d,ffeef7e
5d8950,5d873b,ffeee9a
5db060,5dae48,ffeedb6
5dd770,5dd555,ffeecd1
5dfe80,5dfc63,ffeebeb
5e2590,5e2370,ffeeb06
5e4ca0,5e4a7e,ffeea20
5e73b0,5e718b,ffee939
5e9ac0,5e9898,ffee853
5ec1d0,5ebfa6,ffee76b
5ee8e0,5ee6b3,ffee684
5f0ff0,5f0dc0,ffee59c
5f3700,5f34ce,ffee4b4
5f5e10,5f5bdb,ffee3cb
5f8520,5f82e8,ffee2e2
5fac30,5fa9f5,ffee1f9
5fd340,5fd103,ffee10f
5ffa50,5ff810,ffee025
602160,601f1d,ffedf3b
604870,60462a,ffede50
606f80,606d38,ffedd64
609690,609445,ffedc79
60bda0,60bb52,ffedb8d
60e4b0,60e25f,ffedaa0
610bc0,61096c,ffed9b4
6132d0,61307a,ffed8c7
6159e0,615787,ffed7d9
6180f0,617e94,ffed6eb
61a800,61a5a1,ffed5fd
61cf10,61ccae,ffed50f
61f620,61f3bb,ffed420
621d30,621ac9,ffed330
624440,6241d6,ffed241
626b50,6268e3,ffed151
629260,628ff0,ffed060
62b970,62b6fd,ffecf6f
62e080,62de0a,ffece7e
630790,630517,ffecd8d
632ea0,632c24,ffecc9b
6355b0,635331,ffecba8
637cc0,637a3e,ffecab6
63a3d0,63a14b,ffec9c3
63cae0,63c859,ffec8cf
63f1f0,63ef66,ffec7db
641900,641673,ffec6e7
644010,643d80,ffec5f3
646720,64648d,ffec4fe
648e30,648b9a,ffec408
64b540,64b2a7,ffec313
64dc50,64d9b4,ffec21d
650360,6500c0,ffec126
652a70,6527cd,ffec030
655180,654eda,ffebf38
657890,6575e7,ffebe41
659fa0,659cf4,ffebd49
65c6b0,65c401,ffebc51
65edc0,65eb0e,ffebb58
6614d0,66121b,ffeba5f
663be0,663928,ffeb966
6662f0,666035,ffeb86c
668a00,668742,ffeb772
66b110,66ae4e,ffeb677
66d820,66d55b,ffeb57c
66ff30,66fc68,ffeb481
672640,672375,ffeb386
674d50,674a82,ffeb28a
677460,67718f,ffeb18d
679b70,67989b,ffeb091
67c280,67bfa8,ffeaf93
67e990,67e6b5,ffeae96
6810a0,680dc2,ffead98
6837b0,6834cf,ffeac9a
685ec0,685bdb,ffeab9b
6885d0,6882e8,ffeaa9c
68ace0,68a9f5,ffea99d
68d3f0,68d102,ffea89d
68fb00,68f80e,ffea79d
692210,691f1b,ffea69d
694920,694628,ffea59c
697030,696d34,ffea49b
699740,699441,ffea399
69be50,69bb4e,ffea297
69e560,69e25a,ffea195
6a0c70,6a0967,ffea092
6a3380,6a3074,ffe9f8f
6a5a90,6a5780,ffe9e8c
6a81a0,6a7e8d,ffe9d88
6aa8b0,6aa59a,ffe9c84
6acfc0,6acca6,ffe9b7f
6af6d0,6af3b3,ffe9a7a
6b1de0,6b1abf,ffe9975
6b44f0,6b41cc,ffe986f
6b6c00,6b68d9,ffe9769
6b9310,6b8fe5,ffe9663
6bba20,6bb6f2,ffe955c
6be130,6bddfe,ffe9455
6c0840,6c050b,ffe934d
6c2f50,6c2c17,ffe9245
6c5660,6c5324,ffe913d
6c7d70,6c7a30,ffe9034
6ca480,6ca13d,ffe8f2b
6ccb90,6cc849,ffe8e22
6cf2a0,6cef56,ffe8d18
6d19b0,6d1662,ffe8c0e
6d40c0,6d3d6f,ffe8b04
6d67d0,6d647b,ffe89f9
6d8ee0,6d8b87,ffe88ed
6db5f0,6db294,ffe87e2
6ddd00,6dd9a0,ffe86d6
6e0410,6e00ad,ffe85c9
6e2b20,6e27b9,ffe84bd
6e5230,6e4ec5,ffe83b0
6e7940,6e75d2,ffe82a2
6ea050,6e9cde,ffe8194
6ec760,6ec3ea,ffe8086
6eee70,6eeaf7,ffe7f77
6f1580,6f1203,ffe7e68
6f3c90,6f390f,ffe7d59
6f63a0,6f601c,ffe7c49
